rank,python,r,abs_diff
1,0.3152423445037481,0.315242344499096,4.652112028935562e-12
2,2.0344325241722707,2.03443252416653,5.7407412157317594e-12
3,0.3177589567549568,0.317758956759961,5.0042192611954306e-12
4,-1.2006878041455848,-1.20068780416835,2.2765123119938835e-11
5,-0.0212999476714032,-0.0212999476529178,1.8485400710144262e-11
6,0.3847087426295789,0.384708742622856,6.722900014466404e-12
7,-0.1339915176385117,-0.133991517629861,8.650691274425526e-12
8,-0.1818511994369394,-0.181851199428377,8.56240078839221e-12
9,-0.1406422605979331,-0.140642260591498,6.435102450907948e-12
10,-0.3736698385701821,-0.373669838577443,7.260914092199755e-12
