rank,python,r,abs_diff
1,1.051984818461228,0.315242344499096,0.736742473962132
2,0.1362476748927875,2.03443252416653,1.8981848492737425
3,0.0974936906835372,0.317758956759961,0.22026526607642383
4,0.2043889662417004,-1.20068780416835,1.4050767704100504
5,-0.0239215669359542,-0.0212999476529178,0.002621619283036402
6,0.7015117527030792,0.384708742622856,0.3168030100802232
7,-0.6452106618131619,-0.133991517629861,0.5112191441833009
8,-0.8200719025135873,-0.181851199428377,0.6382207030852103
9,0.1316362744929045,-0.140642260591498,0.2722785350844025
10,0.1659409537874666,-0.373669838577443,0.5396107923649096
